DATE,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max,BASEL_humidity,BASEL_pressure,BASEL_cloud_cover,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine
20000101,2.9,1.6,3.9,0.89,1.0286,8,0.2,0.03,0.0
20000102,3.6,2.7,4.8,0.87,1.0318,8,0.25,0.0,0.0
20000103,2.2,0.1,4.8,0.81,1.0314,5,0.5,0.0,3.7
20000104,3.9,0.5,7.5,0.79,1.0262,7,0.63,0.35,6.9
20000105,6.0,3.8,8.6,0.9,1.0246,5,0.51,0.07,3.7
20000106,4.2,1.9,6.9,0.85,1.0244,3,0.56,0.0,5.7
20000107,4.7,1.8,6.2,0.84,1.0267,8,0.2,0.0,0.0
20000108,5.6,4.1,8.4,0.79,1.0248,4,0.54,0.0,4.3
20000109,4.6,3.8,5.7,0.88,1.0243,8,0.11,0.65,0.0
20000110,2.4,1.4,3.8,0.91,1.0337,8,0.06,0.09,0.0
20000111,3.2,2.6,3.9,0.88,1.0373,8,0.06,0.0,0.0
20000112,2.4,0.8,3.0,0.77,1.0319,8,0.1,0.0,0.0
20000113,1.7,-0.2,5.0,0.78,1.0226,1,0.66,0.0,7.5
20000114,0.6,-1.0,3.8,0.8,1.023,0,0.69,0.0,7.6
20000115,-1.3,-2.9,1.5,0.85,1.0311,6,0.51,0.0,2.8
20000116,-0.4,-2.1,1.8,0.8,1.0346,7,0.23,0.0,0.3
20000117,0.9,-3.2,4.2,0.79,1.0328,8,0.33,0.0,0.1
20000118,4.5,3.8,5.3,0.83,1.0267,7,0.18,0.03,0.0
20000119,2.4,-0.7,3.9,0.69,1.0307,7,0.38,0.0,0.7
20000120,0.4,-2.7,2.9,0.72,1.0333,5,0.53,0.0,3.2
20000121,2.5,1.6,3.5,0.74,1.0297,8,0.18,0.0,0.0
20000122,3.1,1.9,3.9,0.8,1.017,8,0.09,0.12,0.0
20000123,2.0,-0.1,3.5,0.86,1.0151,8,0.33,0.42,0.0
20000124,-4.0,-7.6,-0.2,0.78,1.0235,7,0.29,0.02,0.0
20000125,-6.5,-8.5,-3.7,0.61,1.0302,2,0.87,0.0,8.1
20000126,-6.8,-10.6,-3.2,0.71,1.0354,0,0.84,0.0,8.1
20000127,-5.2,-8.7,-0.7,0.76,1.0342,1,0.89,0.0,8.4
20000128,-1.7,-6.2,4.8,0.78,1.0269,5,0.53,0.0,2.2
20000129,7.4,3.7,9.5,0.65,1.0166,8,0.11,0.13,0.0
20000130,10.0,9.0,10.7,0.74,1.0224,8,0.1,0.02,0.0
20000131,8.1,3.5,10.6,0.74,1.0304,5,0.42,0.0,1.6
20000201,5.4,1.1,11.2,0.84,1.0248,3,0.88,0.0,5.8
20000202,5.5,2.8,8.5,0.89,1.0221,8,0.13,0.99,0.0
20000203,5.2,1.8,8.4,0.74,1.0361,5,0.55,0.0,2.9
20000204,3.3,-0.9,8.3,0.78,1.0391,1,0.96,0.0,8.3
20000205,6.9,1.9,13.7,0.65,1.0343,3,0.94,0.0,8.1
20000206,6.0,2.6,11.9,0.7,1.0274,4,0.69,0.0,3.0
20000207,7.6,3.3,11.3,0.67,1.0239,8,0.33,0.01,0.3
20000208,11.4,8.7,14.1,0.72,1.017,8,0.35,0.44,0.1
20000209,5.6,3.9,9.4,0.72,1.0281,6,0.55,0.09,1.9
20000210,6.2,1.9,11.1,0.67,1.0264,3,1.11,1.27,8.0
20000211,4.2,3.0,7.0,0.84,1.0286,8,0.13,0.02,0.0
20000212,2.8,1.5,4.3,0.71,1.0297,7,0.26,0.13,0.4
20000213,5.6,2.8,7.6,0.77,1.025,7,0.15,0.04,0.0
20000214,7.0,4.6,9.7,0.82,1.0252,7,0.51,0.15,0.7
20000215,8.3,6.7,10.9,0.8,1.0197,7,0.49,1.22,1.2
20000216,4.4,0.9,9.7,0.79,1.0103,6,0.62,0.48,1.5
20000217,2.1,0.6,3.9,0.78,1.0134,6,0.44,0.02,0.9
20000218,4.2,0.6,9.5,0.8,1.0127,8,0.25,0.39,0.1
20000219,6.0,3.6,8.3,0.77,1.0123,7,0.5,0.25,0.4
20000220,1.9,-0.7,4.0,0.85,1.0269,7,0.28,0.14,0.0
20000221,1.3,-2.2,5.6,0.72,1.031,4,1.27,0.0,8.5
20000222,2.1,-1.1,7.4,0.68,1.0273,3,1.35,0.0,9.6
20000223,2.7,-1.3,7.1,0.67,1.0289,8,0.88,0.0,1.8
20000224,3.5,-0.2,6.1,0.76,1.0306,8,0.37,0.0,0.0
20000225,9.5,5.8,11.5,0.76,1.0287,8,0.32,0.45,0.0
20000226,7.4,5.2,9.9,0.85,1.0315,8,0.56,0.04,0.0
20000227,9.0,4.5,14.5,0.76,1.0283,2,1.43,0.0,9.0
20000228,11.0,4.2,19.5,0.61,1.0219,5,1.39,0.42,8.5
20000229,8.1,6.3,10.2,0.8,1.0179,8,0.25,0.9,0.0
20000301,5.8,3.5,9.7,0.81,1.0099,8,0.35,0.36,0.0
20000302,4.4,2.4,7.2,0.64,1.0258,7,1.04,0.0,3.8
20000303,7.5,4.3,9.5,0.59,1.0185,8,0.46,0.53,0.1
20000304,5.1,0.2,8.5,0.61,1.0234,5,1.28,0.0,7.1
20000305,1.7,-2.2,6.4,0.54,1.0357,1,1.68,0.0,10.6
20000306,3.9,-1.2,10.3,0.56,1.0322,2,1.69,0.0,10.6
20000307,6.4,-0.1,13.7,0.61,1.0299,1,1.58,0.0,10.5
20000308,9.2,3.4,15.0,0.68,1.0306,7,1.03,0.56,2.4
20000309,14.1,10.1,19.3,0.53,1.0278,7,1.15,0.0,3.9
20000310,10.3,6.0,12.9,0.74,1.0283,7,0.63,0.0,2.1
20000311,11.1,6.0,16.7,0.66,1.0225,7,1.43,0.0,5.9
20000312,9.3,3.6,13.2,0.65,1.0243,6,1.43,0.0,6.9
20000313,7.5,1.0,13.9,0.69,1.026,1,1.72,0.04,9.8
20000314,10.5,7.2,13.4,0.7,1.0242,8,0.63,0.56,0.4
20000315,5.4,0.9,8.2,0.61,1.0306,5,1.23,0.0,4.0
20000316,5.4,0.5,8.4,0.73,1.032,8,0.36,0.05,0.0
20000317,8.1,6.4,10.4,0.78,1.0285,8,0.38,0.03,0.0
20000318,7.4,5.4,8.8,0.79,1.0268,8,0.45,0.17,0.0
20000319,6.5,5.0,9.2,0.79,1.0287,8,0.67,0.0,0.3
20000320,6.9,1.7,12.1,0.5,1.0257,2,1.88,0.0,9.8
20000321,8.2,1.2,15.3,0.56,1.0217,2,1.95,0.0,11.1
20000322,10.3,3.2,18.5,0.54,1.019,1,1.95,0.0,11.0
20000323,11.0,4.9,17.2,0.6,1.0148,6,1.1,0.02,3.0
20000324,11.1,8.3,14.5,0.65,1.014,7,0.8,0.0,1.8
20000325,10.9,6.5,17.0,0.62,1.0158,6,1.71,0.0,8.2
20000326,8.0,5.4,11.1,0.69,1.0127,8,0.95,0.24,0.9
20000327,6.0,3.3,9.5,0.74,1.0089,7,1.04,0.02,2.1
20000328,5.7,2.9,10.1,0.78,1.0104,7,0.81,0.07,0.6
20000329,3.8,2.7,5.2,0.87,1.0083,8,0.18,0.47,0.0
20000330,5.7,3.8,7.7,0.7,1.0133,8,0.68,0.0,0.0
20000331,8.7,4.5,13.8,0.61,1.0088,6,1.6,0.29,5.3
20000401,7.1,3.8,10.2,0.77,1.008,6,0.95,0.0,1.2
20000402,9.2,2.0,16.2,0.62,1.0028,4,2.1,0.54,10.7
20000403,12.9,7.4,19.7,0.6,0.992,7,1.29,0.0,3.9
20000404,11.5,5.2,19.7,0.68,0.9942,7,1.72,0.28,4.8
20000405,8.6,4.6,11.3,0.84,1.0063,7,0.7,0.56,0.0
20000406,3.8,1.0,5.4,0.84,1.0242,8,0.23,0.0,0.0
20000407,5.9,-1.6,13.9,0.63,1.0289,2,2.43,0.0,12.3
20000408,9.1,0.4,16.9,0.53,1.0216,1,2.48,0.0,12.4
20000409,10.3,3.5,16.1,0.55,1.0097,5,1.59,0.0,5.8
20000410,10.2,5.6,15.2,0.59,1.0059,7,1.61,0.16,4.7
20000411,9.6,7.3,13.6,0.77,0.9987,8,1.19,1.38,1.8
20000412,8.4,4.6,13.5,0.64,0.9972,5,1.93,0.37,6.5
20000413,8.3,5.7,11.5,0.81,1.0026,8,0.82,0.5,0.1
20000414,12.5,7.3,19.6,0.69,1.0007,4,2.28,0.0,9.4
20000415,10.0,6.1,14.2,0.67,1.0029,7,0.83,0.1,1.0
20000416,8.6,4.6,14.3,0.75,1.0023,7,0.94,0.02,1.9
20000417,9.6,8.0,11.4,0.76,1.0076,8,0.45,0.01,0.0
20000418,9.6,5.6,12.2,0.75,1.0112,8,0.82,0.0,0.4
20000419,10.1,4.1,16.7,0.71,1.0132,5,1.6,0.0,4.8
20000420,12.9,4.0,20.9,0.63,1.015,2,2.59,0.0,12.0
20000421,16.8,11.2,23.4,0.59,1.016,7,2.42,0.0,9.2
20000422,18.4,10.1,27.7,0.56,1.0114,4,2.29,0.0,8.6
20000423,14.8,9.7,21.3,0.7,1.0112,7,1.44,0.7,3.0
20000424,10.3,6.8,14.3,0.82,1.0154,6,0.84,0.73,2.5
20000425,13.5,6.0,20.5,0.67,1.013,1,2.77,0.0,12.2
20000426,17.8,9.6,26.5,0.57,1.0099,3,2.67,0.0,11.9
20000427,16.3,11.6,22.9,0.64,1.0078,7,1.53,0.0,0.9
20000428,14.9,11.7,22.4,0.74,1.008,7,1.78,0.0,4.1
20000429,11.8,8.5,14.1,0.77,1.0174,8,0.68,0.0,0.0
20000430,15.1,7.3,22.0,0.71,1.0198,1,2.68,0.0,11.2
20000501,17.0,10.9,22.9,0.73,1.0171,3,2.61,0.0,9.6
20000502,17.0,12.6,22.6,0.76,1.0161,7,2.27,0.0,7.0
20000503,16.5,12.2,22.6,0.75,1.0175,6,1.74,0.0,4.6
20000504,17.5,11.1,23.5,0.67,1.017,6,2.07,0.0,4.6
20000505,17.0,12.0,25.5,0.7,1.0145,4,2.41,0.0,8.8
20000506,16.7,11.6,23.5,0.71,1.0134,5,2.45,0.0,8.5
20000507,18.0,11.6,25.0,0.67,1.0152,5,2.55,0.0,8.8
20000508,16.9,12.6,23.9,0.75,1.0183,6,1.91,0.73,6.1
20000509,18.8,11.6,26.9,0.65,1.0172,3,2.86,0.0,11.0
20000510,20.0,13.4,26.7,0.64,1.015,5,2.64,0.0,8.4
20000511,20.5,14.7,28.0,0.67,1.0151,4,2.72,0.11,9.8
20000512,16.7,14.5,20.2,0.8,1.0207,8,1.1,0.0,0.1
20000513,16.2,13.2,19.7,0.82,1.0216,7,0.98,0.05,0.3
20000514,18.4,12.7,24.7,0.68,1.0219,3,3.02,0.0,12.2
20000515,19.4,10.4,27.8,0.58,1.0204,2,3.06,0.0,12.8
20000516,20.9,14.3,28.5,0.6,1.0171,4,2.66,0.0,10.1
20000517,17.3,13.7,23.4,0.74,1.016,7,1.74,0.19,4.6
20000518,13.6,9.3,15.9,0.68,1.0136,6,1.18,0.16,2.6
20000519,12.0,8.7,16.3,0.66,1.0142,7,2.25,0.02,3.3
20000520,13.0,8.3,18.2,0.58,1.0144,5,2.81,0.03,8.8
20000521,12.8,6.6,18.2,0.68,1.0118,5,1.85,0.32,4.4
20000522,12.4,8.7,17.6,0.64,1.0198,3,2.72,0.0,8.8
20000523,14.4,6.5,21.4,0.61,1.0209,5,3.16,0.0,13.8
20000524,17.4,9.7,24.6,0.6,1.0175,2,3.18,0.0,13.6
20000525,16.8,13.2,21.1,0.69,1.0172,8,1.06,0.0,0.6
20000526,18.4,12.4,26.3,0.71,1.0149,4,2.68,1.5,8.1
20000527,13.4,10.1,17.6,0.75,1.0174,7,1.64,0.52,3.8
20000528,14.1,10.3,18.5,0.68,1.0126,7,0.81,0.37,0.6
20000529,12.8,9.2,17.4,0.66,1.0179,5,2.13,0.14,3.8
20000530,12.4,7.8,17.5,0.79,1.0165,8,0.79,1.08,0.6
20000531,15.1,11.4,18.1,0.78,1.0194,7,1.55,0.24,2.4
20000601,17.8,11.0,24.1,0.68,1.0234,3,3.19,0.0,12.5
20000602,21.7,13.8,30.1,0.63,1.0203,5,3.1,0.0,10.7
20000603,22.8,16.0,30.6,0.64,1.0174,3,2.97,0.38,12.0
20000604,23.4,18.2,28.8,0.65,1.0171,3,3.07,0.38,11.8
20000605,19.6,15.9,26.2,0.8,1.0162,5,2.11,4.11,7.6
20000606,13.4,11.5,15.9,0.84,1.0221,8,0.88,0.1,0.0
20000607,15.7,10.9,21.2,0.65,1.0237,2,3.03,0.0,11.4
20000608,18.4,9.0,26.1,0.61,1.0184,0,3.35,0.0,14.6
20000609,22.9,14.5,29.9,0.6,1.0133,2,3.24,0.24,14.0
20000610,22.0,17.7,27.4,0.7,1.0131,6,2.58,0.0,8.2
20000611,17.7,13.5,20.1,0.84,1.0166,8,0.42,0.0,0.0
20000612,18.3,13.4,23.3,0.68,1.0261,5,2.43,0.0,6.0
20000613,20.6,14.2,27.1,0.69,1.0243,7,2.85,0.35,7.5
20000614,21.3,15.8,28.3,0.72,1.0236,2,3.05,0.0,10.7
20000615,20.8,16.4,26.5,0.65,1.0244,6,2.8,0.08,7.4
20000616,17.9,12.0,22.1,0.59,1.0258,5,2.78,0.0,8.6
20000617,16.9,9.4,24.1,0.61,1.0277,1,3.38,0.0,14.8
20000618,19.7,9.4,29.0,0.5,1.026,0,3.52,0.0,15.3
20000619,23.0,12.6,32.3,0.48,1.0214,1,3.36,0.0,15.0
20000620,25.1,17.1,32.6,0.5,1.0168,1,3.22,0.0,14.0
20000621,24.6,18.1,31.5,0.5,1.0166,1,3.23,0.0,14.1
20000622,18.7,16.3,22.0,0.75,1.02,7,1.05,0.45,2.9
20000623,17.8,15.4,22.0,0.63,1.0215,7,2.29,0.0,3.3
20000624,14.1,11.4,18.5,0.77,1.0194,7,0.74,0.46,0.0
20000625,13.7,10.3,17.8,0.69,1.0207,7,1.87,0.0,1.4
20000626,14.6,8.0,21.7,0.62,1.0227,2,3.15,0.0,13.1
20000627,15.5,7.5,23.1,0.57,1.0207,1,3.28,0.0,12.5
20000628,14.7,9.7,19.5,0.68,1.018,5,1.7,0.19,4.9
20000629,17.1,10.8,23.3,0.58,1.0189,5,3.13,0.0,13.0
20000630,18.8,10.4,26.0,0.54,1.0154,2,3.24,0.0,12.9
20000701,20.9,13.6,27.4,0.65,1.0121,5,2.52,0.25,9.6
20000702,23.8,17.2,33.0,0.68,1.0112,3,3.0,0.79,10.8
20000703,19.9,17.6,23.3,0.81,1.011,7,1.38,0.91,2.5
20000704,19.7,16.5,23.6,0.71,1.0095,6,2.37,0.6,6.9
20000705,19.4,15.8,24.1,0.62,1.0178,5,2.71,0.0,8.8
20000706,20.9,13.8,27.0,0.6,1.0179,2,3.12,0.26,13.2
20000707,19.9,15.9,27.9,0.75,1.0112,5,1.93,0.32,4.4
20000708,15.4,12.8,19.1,0.7,1.0163,7,1.51,0.07,3.9
20000709,14.6,12.5,16.7,0.76,1.0111,7,0.55,1.24,0.0
20000710,16.1,13.9,17.9,0.73,1.0011,8,0.99,0.25,0.1
20000711,14.5,12.0,19.0,0.69,1.0049,6,2.07,0.12,3.5
20000712,13.2,11.4,16.6,0.76,1.0169,7,1.67,0.61,1.9
20000713,13.7,9.5,18.6,0.79,1.0176,7,1.13,0.59,0.1
20000714,13.7,11.6,15.9,0.83,1.0116,8,0.52,1.09,0.1
20000715,12.6,10.4,16.6,0.78,1.0124,7,1.74,0.64,2.4
20000716,12.7,10.2,17.7,0.81,1.0166,7,1.41,1.17,2.6
20000717,14.8,9.3,21.0,0.71,1.0192,3,3.01,0.0,12.0
20000718,16.7,9.4,23.1,0.66,1.0191,2,3.01,0.0,11.8
20000719,17.0,12.0,23.1,0.66,1.0197,2,2.93,0.0,13.1
20000720,16.9,10.5,23.0,0.67,1.021,3,2.68,0.0,9.6
20000721,18.5,11.7,25.3,0.64,1.0209,1,3.03,0.0,13.9
20000722,19.2,11.9,26.0,0.63,1.0167,3,3.06,0.0,12.2
20000723,18.8,15.2,22.9,0.76,1.0127,7,1.13,0.14,1.3
20000724,19.4,16.1,24.7,0.8,1.0081,7,1.4,0.78,1.3
20000725,19.0,15.1,23.8,0.8,1.009,7,1.52,0.5,1.9
20000726,19.9,16.3,24.6,0.72,1.0121,3,2.6,0.02,7.9
20000727,19.7,15.5,25.3,0.74,1.0165,7,1.97,0.65,5.4
20000728,17.2,14.7,21.4,0.79,1.0173,7,1.67,0.34,4.0
20000729,15.9,14.0,19.6,0.86,1.0202,8,1.04,2.53,0.6
20000730,17.6,14.1,22.0,0.74,1.0239,5,1.92,0.0,5.2
20000731,19.2,12.9,25.7,0.66,1.0239,1,3.03,0.0,14.0
20000801,21.9,14.1,29.0,0.66,1.0203,1,2.97,0.0,13.7
20000802,19.6,16.4,24.4,0.78,1.0197,7,1.03,0.16,1.4
20000803,17.0,13.3,19.8,0.81,1.0205,6,0.79,0.0,0.8
20000804,17.3,12.4,23.2,0.7,1.0206,3,2.35,0.0,7.8
20000805,15.5,13.6,16.7,0.9,1.0207,8,0.35,1.16,0.0
20000806,18.6,15.5,22.9,0.75,1.0213,5,2.29,0.0,6.6
20000807,19.4,15.7,25.1,0.73,1.0225,3,2.3,0.0,8.7
20000808,19.4,14.7,24.1,0.74,1.0212,5,1.91,0.0,4.9
20000809,20.7,14.8,26.4,0.7,1.0205,1,2.74,0.0,12.7
20000810,21.9,15.8,28.4,0.67,1.0182,1,2.75,0.0,13.1
20000811,22.8,16.0,29.4,0.63,1.0146,1,2.74,0.0,13.1
20000812,23.1,17.4,29.6,0.62,1.014,1,2.7,0.0,12.8
20000813,22.7,16.6,29.7,0.62,1.0171,1,2.65,0.0,12.8
20000814,23.5,17.4,30.3,0.62,1.0201,4,2.61,0.0,11.3
20000815,23.3,18.7,28.4,0.68,1.0208,3,2.23,0.0,8.0
